model,language,pair_id,order,verdict_mismatch,margin_original,margin_repeat,abs_margin_original,logit_A_original,logit_A_repeat,logit_B_original,logit_B_repeat,max_logit_diff,c,b,tie_c,boundary
OpenGVLab/InternVL3-8B,java,u3_0653,AB,False,0.625,0.625,0.625,30.375,32.5,29.75,31.875,2.125,0.3125,0.3125,False,True
OpenGVLab/InternVL3-8B,java,u3_0653,BA,False,0.0,0.125,0.0,28.875,29.25,28.875,29.125,0.375,0.3125,0.3125,False,True
OpenGVLab/InternVL3-8B,java,u3_0654,AB,False,0.75,0.5,0.75,30.625,30.0,29.875,29.5,0.625,0.25,0.5,False,False
OpenGVLab/InternVL3-8B,java,u3_0654,BA,False,0.25,0.125,0.25,31.0,29.375,30.75,29.25,1.625,0.25,0.5,False,False
OpenGVLab/InternVL3-8B,java,u3_0655,AB,False,-0.125,-0.25,0.125,29.5,29.875,29.625,30.125,0.5,-0.6875,0.5625,False,False
OpenGVLab/InternVL3-8B,java,u3_0655,BA,False,1.25,1.25,1.25,33.0,32.25,31.75,31.0,0.75,-0.6875,0.5625,False,False
OpenGVLab/InternVL3-8B,java,u3_0656,AB,True,-0.125,0.0,0.125,28.375,29.5,28.5,29.5,1.125,-0.8125,0.6875,False,False
OpenGVLab/InternVL3-8B,java,u3_0656,BA,False,1.5,1.5,1.5,32.25,33.25,30.75,31.75,1.0,-0.8125,0.6875,False,False
OpenGVLab/InternVL3-8B,java,u3_0657,AB,False,-0.25,-0.5,0.25,29.75,28.375,30.0,28.875,1.375,-0.625,0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0657,BA,False,1.0,0.75,1.0,30.0,31.0,29.0,30.25,1.25,-0.625,0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0658,AB,False,0.25,0.125,0.25,31.25,31.0,31.0,30.875,0.25,-0.25,0.5,False,False
OpenGVLab/InternVL3-8B,java,u3_0658,BA,False,0.75,0.75,0.75,31.375,31.25,30.625,30.5,0.125,-0.25,0.5,False,False
OpenGVLab/InternVL3-8B,java,u3_0659,AB,False,1.375,1.25,1.375,32.25,31.875,30.875,30.625,0.375,0.3125,1.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0659,BA,False,0.75,0.375,0.75,30.25,29.625,29.5,29.25,0.625,0.3125,1.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0660,AB,False,0.625,0.625,0.625,28.875,29.25,28.25,28.625,0.375,-0.1875,0.8125,False,False
OpenGVLab/InternVL3-8B,java,u3_0660,BA,False,1.0,1.125,1.0,30.25,31.875,29.25,30.75,1.625,-0.1875,0.8125,False,False
OpenGVLab/InternVL3-8B,java,u3_0661,AB,False,-0.375,-0.5,0.375,28.125,28.125,28.5,28.625,0.125,-0.3125,-0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0661,BA,False,0.25,0.125,0.25,30.0,29.25,29.75,29.125,0.75,-0.3125,-0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0662,AB,False,-0.75,-0.5,0.75,28.125,30.375,28.875,30.875,2.25,-1.5,0.75,False,False
OpenGVLab/InternVL3-8B,java,u3_0662,BA,False,2.25,2.25,2.25,34.0,34.75,31.75,32.5,0.75,-1.5,0.75,False,False
OpenGVLab/InternVL3-8B,java,u3_0663,AB,False,0.25,0.0,0.25,31.125,30.75,30.875,30.75,0.375,-0.375,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0663,BA,False,1.0,1.125,1.0,31.625,32.25,30.625,31.125,0.625,-0.375,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0664,AB,False,0.625,0.625,0.625,30.5,29.125,29.875,28.5,1.375,0.25,0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0664,BA,False,0.125,0.0,0.125,28.125,28.25,28.0,28.25,0.25,0.25,0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0665,AB,False,-1.625,-1.125,1.625,28.125,30.625,29.75,31.75,2.5,-1.3125,-0.3125,False,False
OpenGVLab/InternVL3-8B,java,u3_0665,BA,False,1.0,0.875,1.0,32.25,30.75,31.25,29.875,1.5,-1.3125,-0.3125,False,False
OpenGVLab/InternVL3-8B,java,u3_0666,AB,False,0.625,0.625,0.625,29.875,29.375,29.25,28.75,0.5,-0.1875,0.8125,False,False
OpenGVLab/InternVL3-8B,java,u3_0666,BA,False,1.0,0.75,1.0,31.375,30.125,30.375,29.375,1.25,-0.1875,0.8125,False,False
OpenGVLab/InternVL3-8B,java,u3_0667,AB,False,0.75,0.625,0.75,31.625,31.5,30.875,30.875,0.125,0.5,0.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0667,BA,True,-0.25,0.0,0.25,28.375,30.25,28.625,30.25,1.875,0.5,0.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0668,AB,False,-0.125,-0.125,0.125,29.5,29.875,29.625,30.0,0.375,0.25,-0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0668,BA,False,-0.625,-0.625,0.625,30.875,29.375,31.5,30.0,1.5,0.25,-0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0669,AB,False,-0.25,-0.25,0.25,28.5,30.0,28.75,30.25,1.5,-0.875,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0669,BA,False,1.5,1.75,1.5,31.125,33.25,29.625,31.5,2.125,-0.875,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0670,AB,False,0.125,0.125,0.125,31.125,31.125,31.0,31.0,0.0,-0.8125,0.9375,False,False
OpenGVLab/InternVL3-8B,java,u3_0670,BA,False,1.75,1.75,1.75,33.75,35.25,32.0,33.5,1.5,-0.8125,0.9375,False,False
OpenGVLab/InternVL3-8B,java,u3_0671,AB,False,-1.125,-1.375,1.125,30.875,28.75,32.0,30.125,2.125,-1.8125,0.6875,False,False
OpenGVLab/InternVL3-8B,java,u3_0671,BA,False,2.5,2.5,2.5,36.5,35.5,34.0,33.0,1.0,-1.8125,0.6875,False,False
OpenGVLab/InternVL3-8B,java,u3_0672,AB,False,-1.125,-1.125,1.125,28.375,30.0,29.5,31.125,1.625,-1.75,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0672,BA,False,2.375,2.75,2.375,32.5,35.25,30.125,32.5,2.75,-1.75,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0673,AB,False,-1.375,-1.25,1.375,29.0,29.625,30.375,30.875,0.625,-1.0,-0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0673,BA,False,0.625,0.5,0.625,31.625,31.625,31.0,31.125,0.125,-1.0,-0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0674,AB,False,-0.5,-0.375,0.5,30.25,29.5,30.75,29.875,0.875,-0.1875,-0.3125,False,False
OpenGVLab/InternVL3-8B,java,u3_0674,BA,False,-0.125,-0.25,0.125,30.625,30.0,30.75,30.25,0.625,-0.1875,-0.3125,False,False
OpenGVLab/InternVL3-8B,java,u3_0675,AB,False,-0.875,-0.625,0.875,28.75,28.375,29.625,29.0,0.625,-2.0,1.125,False,False
OpenGVLab/InternVL3-8B,java,u3_0675,BA,False,3.125,3.0,3.125,35.0,33.25,31.875,30.25,1.75,-2.0,1.125,False,False
OpenGVLab/InternVL3-8B,java,u3_0676,AB,True,0.0,-0.125,0.0,30.0,30.875,30.0,31.0,1.0,-0.8125,0.8125,False,True
OpenGVLab/InternVL3-8B,java,u3_0676,BA,False,1.625,1.75,1.625,33.0,34.25,31.375,32.5,1.25,-0.8125,0.8125,False,True
OpenGVLab/InternVL3-8B,java,u3_0677,AB,False,-0.5,-0.5,0.5,29.5,29.5,30.0,30.0,0.0,-1.4375,0.9375,False,False
OpenGVLab/InternVL3-8B,java,u3_0677,BA,False,2.375,2.25,2.375,34.25,33.0,31.875,30.75,1.25,-1.4375,0.9375,False,False
OpenGVLab/InternVL3-8B,java,u3_0678,AB,False,1.5,1.625,1.5,31.875,32.25,30.375,30.625,0.375,1.625,-0.125,False,False
OpenGVLab/InternVL3-8B,java,u3_0678,BA,False,-1.75,-1.75,1.75,28.875,28.875,30.625,30.625,0.0,1.625,-0.125,False,False
OpenGVLab/InternVL3-8B,java,u3_0679,AB,True,-0.125,0.25,0.125,28.5,30.375,28.625,30.125,1.875,-0.1875,0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0679,BA,False,0.25,0.25,0.25,31.375,29.5,31.125,29.25,1.875,-0.1875,0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0680,AB,True,0.0,-0.125,0.0,29.625,30.875,29.625,31.0,1.375,-0.4375,0.4375,False,True
OpenGVLab/InternVL3-8B,java,u3_0680,BA,False,0.875,0.75,0.875,32.0,31.75,31.125,31.0,0.25,-0.4375,0.4375,False,True
OpenGVLab/InternVL3-8B,java,u3_0681,AB,False,-2.625,-2.5,2.625,29.875,32.25,32.5,34.75,2.375,-2.8125,0.1875,False,False
OpenGVLab/InternVL3-8B,java,u3_0681,BA,False,3.0,3.25,3.0,36.0,36.75,33.0,33.5,0.75,-2.8125,0.1875,False,False
OpenGVLab/InternVL3-8B,java,u3_0682,AB,False,-1.375,-1.5,1.375,30.25,30.125,31.625,31.625,0.125,-2.8125,1.4375,False,False
OpenGVLab/InternVL3-8B,java,u3_0682,BA,False,4.25,4.375,4.25,35.5,35.75,31.25,31.375,0.25,-2.8125,1.4375,False,False
OpenGVLab/InternVL3-8B,java,u3_0683,AB,False,-1.0,-1.0,1.0,29.875,29.375,30.875,30.375,0.5,-1.0625,0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0683,BA,False,1.125,1.375,1.125,30.625,32.25,29.5,30.875,1.625,-1.0625,0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0684,AB,False,-0.5,-0.5,0.5,29.875,30.625,30.375,31.125,0.75,-1.1875,0.6875,False,False
OpenGVLab/InternVL3-8B,java,u3_0684,BA,False,1.875,1.75,1.875,31.875,33.25,30.0,31.5,1.5,-1.1875,0.6875,False,False
OpenGVLab/InternVL3-8B,java,u3_0685,AB,False,-2.875,-3.0,2.875,29.875,29.5,32.75,32.5,0.375,-3.25,0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0685,BA,False,3.625,3.75,3.625,34.5,36.75,30.875,33.0,2.25,-3.25,0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0686,AB,False,-1.5,-1.375,1.5,29.875,28.875,31.375,30.25,1.125,-1.4375,-0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0686,BA,False,1.375,1.375,1.375,30.875,32.0,29.5,30.625,1.125,-1.4375,-0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0687,AB,False,-1.0,-1.25,1.0,28.625,28.625,29.625,29.875,0.25,-1.625,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0687,BA,False,2.25,2.375,2.25,32.25,33.5,30.0,31.125,1.25,-1.625,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0688,AB,False,2.75,2.25,2.75,33.0,32.25,30.25,30.0,0.75,1.75,1.0,False,False
OpenGVLab/InternVL3-8B,java,u3_0688,BA,False,-0.75,-0.625,0.75,30.25,30.0,31.0,30.625,0.375,1.75,1.0,False,False
OpenGVLab/InternVL3-8B,java,u3_0689,AB,False,-0.75,-0.625,0.75,28.0,28.625,28.75,29.25,0.625,-1.75,1.0,False,False
OpenGVLab/InternVL3-8B,java,u3_0689,BA,False,2.75,2.75,2.75,35.25,35.75,32.5,33.0,0.5,-1.75,1.0,False,False
OpenGVLab/InternVL3-8B,java,u3_0690,AB,False,-0.375,-0.5,0.375,29.125,30.125,29.5,30.625,1.125,-0.25,-0.125,False,False
OpenGVLab/InternVL3-8B,java,u3_0690,BA,False,0.125,0.25,0.125,30.625,31.875,30.5,31.625,1.25,-0.25,-0.125,False,False
OpenGVLab/InternVL3-8B,java,u3_0691,AB,False,0.25,0.75,0.25,32.5,31.875,32.25,31.125,1.125,0.625,-0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0691,BA,False,-1.0,-0.875,1.0,31.5,31.0,32.5,31.875,0.625,0.625,-0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0692,AB,False,0.375,0.25,0.375,32.25,29.875,31.875,29.625,2.375,0.625,-0.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0692,BA,False,-0.875,-0.75,0.875,29.125,29.75,30.0,30.5,0.625,0.625,-0.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0693,AB,False,-0.5,-0.75,0.5,28.5,28.375,29.0,29.125,0.125,-0.75,0.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0693,BA,False,1.0,1.0,1.0,30.625,31.25,29.625,30.25,0.625,-0.75,0.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0694,AB,False,-1.0,-1.125,1.0,29.0,28.5,30.0,29.625,0.5,-1.5,0.5,False,False
OpenGVLab/InternVL3-8B,java,u3_0694,BA,False,2.0,2.25,2.0,31.75,34.5,29.75,32.25,2.75,-1.5,0.5,False,False
OpenGVLab/InternVL3-8B,java,u3_0695,AB,False,-0.75,-1.0,0.75,29.625,28.375,30.375,29.375,1.25,-1.1875,0.4375,False,False
OpenGVLab/InternVL3-8B,java,u3_0695,BA,False,1.625,1.625,1.625,33.0,31.5,31.375,29.875,1.5,-1.1875,0.4375,False,False
OpenGVLab/InternVL3-8B,java,u3_0696,AB,False,-0.875,-0.875,0.875,29.125,28.125,30.0,29.0,1.0,-0.6875,-0.1875,False,False
OpenGVLab/InternVL3-8B,java,u3_0696,BA,False,0.5,0.25,0.5,31.0,30.375,30.5,30.125,0.625,-0.6875,-0.1875,False,False
OpenGVLab/InternVL3-8B,java,u3_0697,AB,False,-0.875,-0.5,0.875,29.5,28.625,30.375,29.125,1.25,-1.5,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0697,BA,False,2.125,2.125,2.125,33.0,32.5,30.875,30.375,0.5,-1.5,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0698,AB,False,-0.75,-0.5,0.75,29.125,29.375,29.875,29.875,0.25,-1.25,0.5,False,False
OpenGVLab/InternVL3-8B,java,u3_0698,BA,False,1.75,1.5,1.75,34.25,33.5,32.5,32.0,0.75,-1.25,0.5,False,False
OpenGVLab/InternVL3-8B,java,u3_0699,AB,False,-1.375,-1.125,1.375,29.625,30.25,31.0,31.375,0.625,-1.9375,0.5625,False,False
OpenGVLab/InternVL3-8B,java,u3_0699,BA,False,2.5,2.625,2.5,35.0,33.5,32.5,30.875,1.625,-1.9375,0.5625,False,False
OpenGVLab/InternVL3-8B,java,u3_0700,AB,False,-0.25,-0.125,0.25,29.375,29.125,29.625,29.25,0.375,-0.875,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0700,BA,False,1.5,1.375,1.5,31.125,31.125,29.625,29.75,0.125,-0.875,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0701,AB,False,-0.5,-0.75,0.5,28.375,29.375,28.875,30.125,1.25,-1.4375,0.9375,False,False
OpenGVLab/InternVL3-8B,java,u3_0701,BA,False,2.375,2.0,2.375,33.25,32.5,30.875,30.5,0.75,-1.4375,0.9375,False,False
OpenGVLab/InternVL3-8B,java,u3_0702,AB,False,1.25,1.25,1.25,30.75,32.0,29.5,30.75,1.25,1.1875,0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0702,BA,False,-1.125,-1.375,1.125,30.125,29.5,31.25,30.875,0.625,1.1875,0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0703,AB,False,1.125,1.25,1.125,30.125,30.625,29.0,29.375,0.5,0.875,0.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0703,BA,False,-0.625,-0.75,0.625,29.875,30.0,30.5,30.75,0.25,0.875,0.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0704,AB,False,0.125,0.0,0.125,30.875,29.5,30.75,29.5,1.375,-0.375,0.5,False,False
OpenGVLab/InternVL3-8B,java,u3_0704,BA,False,0.875,1.0,0.875,32.0,32.0,31.125,31.0,0.125,-0.375,0.5,False,False
OpenGVLab/InternVL3-8B,java,u3_0705,AB,False,0.375,0.75,0.375,29.75,31.25,29.375,30.5,1.5,-0.375,0.75,False,False
OpenGVLab/InternVL3-8B,java,u3_0705,BA,False,1.125,1.25,1.125,32.0,32.0,30.875,30.75,0.125,-0.375,0.75,False,False
OpenGVLab/InternVL3-8B,java,u3_0706,AB,False,0.5,0.75,0.5,29.5,30.875,29.0,30.125,1.375,0.3125,0.1875,False,False
OpenGVLab/InternVL3-8B,java,u3_0706,BA,False,-0.125,-0.125,0.125,29.0,30.375,29.125,30.5,1.375,0.3125,0.1875,False,False
OpenGVLab/InternVL3-8B,java,u3_0707,AB,False,-0.875,-0.75,0.875,29.25,28.625,30.125,29.375,0.75,-1.9375,1.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0707,BA,False,3.0,2.75,3.0,33.5,33.0,30.5,30.25,0.5,-1.9375,1.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0708,AB,False,-0.375,-0.625,0.375,28.0,28.75,28.375,29.375,1.0,-0.9375,0.5625,False,False
OpenGVLab/InternVL3-8B,java,u3_0708,BA,False,1.5,1.625,1.5,32.5,31.625,31.0,30.0,1.0,-0.9375,0.5625,False,False
OpenGVLab/InternVL3-8B,java,u3_0709,AB,True,0.0,-0.125,0.0,31.375,30.375,31.375,30.5,1.0,-0.875,0.875,False,True
OpenGVLab/InternVL3-8B,java,u3_0709,BA,False,1.75,1.875,1.75,31.375,32.25,29.625,30.375,0.875,-0.875,0.875,False,True
OpenGVLab/InternVL3-8B,java,u3_0710,AB,False,-0.375,-0.25,0.375,28.0,28.375,28.375,28.625,0.375,-0.3125,-0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0710,BA,False,0.25,0.25,0.25,30.75,32.75,30.5,32.5,2.0,-0.3125,-0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0711,AB,False,-0.625,-0.75,0.625,27.75,29.25,28.375,30.0,1.625,-0.5,-0.125,False,False
OpenGVLab/InternVL3-8B,java,u3_0711,BA,False,0.375,0.375,0.375,30.75,29.375,30.375,29.0,1.375,-0.5,-0.125,False,False
OpenGVLab/InternVL3-8B,java,u3_0712,AB,False,-1.0,-1.125,1.0,30.875,29.25,31.875,30.375,1.625,-2.25,1.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0712,BA,False,3.5,3.75,3.5,35.0,34.0,31.5,30.25,1.25,-2.25,1.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0713,AB,False,-1.875,-1.625,1.875,28.375,29.25,30.25,30.875,0.875,-1.875,0.0,False,False
OpenGVLab/InternVL3-8B,java,u3_0713,BA,False,1.875,1.75,1.875,33.25,31.875,31.375,30.125,1.375,-1.875,0.0,False,False
OpenGVLab/InternVL3-8B,java,u3_0714,AB,False,0.125,0.125,0.125,29.875,30.5,29.75,30.375,0.625,0.25,-0.125,False,False
OpenGVLab/InternVL3-8B,java,u3_0714,BA,False,-0.375,-0.625,0.375,31.625,30.625,32.0,31.25,1.0,0.25,-0.125,False,False
OpenGVLab/InternVL3-8B,java,u3_0715,AB,False,-1.375,-1.625,1.375,27.5,28.375,28.875,30.0,1.125,-1.0,-0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0715,BA,False,0.625,0.75,0.625,29.25,31.0,28.625,30.25,1.75,-1.0,-0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0716,AB,False,-1.375,-1.5,1.375,29.625,28.25,31.0,29.75,1.375,-1.8125,0.4375,False,False
OpenGVLab/InternVL3-8B,java,u3_0716,BA,False,2.25,2.25,2.25,34.75,35.0,32.5,32.75,0.25,-1.8125,0.4375,False,False
OpenGVLab/InternVL3-8B,java,u3_0717,AB,False,0.0,0.0,0.0,29.125,29.375,29.125,29.375,0.25,0.0,0.0,True,False
OpenGVLab/InternVL3-8B,java,u3_0717,BA,False,0.0,0.25,0.0,31.0,31.75,31.0,31.5,0.75,0.0,0.0,True,False
OpenGVLab/InternVL3-8B,java,u3_0718,AB,False,-2.375,-2.125,2.375,28.375,30.125,30.75,32.25,1.75,-3.0,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0718,BA,False,3.625,3.75,3.625,35.5,33.75,31.875,30.0,1.875,-3.0,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0719,AB,False,-1.375,-0.875,1.375,30.0,30.875,31.375,31.75,0.875,-0.75,-0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0719,BA,False,0.125,0.125,0.125,30.875,30.5,30.75,30.375,0.375,-0.75,-0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0720,AB,True,0.25,-0.125,0.25,30.375,28.875,30.125,29.0,1.5,-1.0,1.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0720,BA,False,2.25,1.875,2.25,34.5,33.0,32.25,31.125,1.5,-1.0,1.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0721,AB,False,0.5,0.375,0.5,31.25,30.5,30.75,30.125,0.75,0.0625,0.4375,False,False
OpenGVLab/InternVL3-8B,java,u3_0721,BA,False,0.375,0.75,0.375,31.625,33.25,31.25,32.5,1.625,0.0625,0.4375,False,False
OpenGVLab/InternVL3-8B,java,u3_0722,AB,True,0.125,-0.25,0.125,29.75,28.375,29.625,28.625,1.375,-0.5625,0.6875,False,False
OpenGVLab/InternVL3-8B,java,u3_0722,BA,False,1.25,1.125,1.25,32.25,31.25,31.0,30.125,1.0,-0.5625,0.6875,False,False
OpenGVLab/InternVL3-8B,java,u3_0723,AB,False,-0.25,-0.375,0.25,29.75,29.625,30.0,30.0,0.125,-1.125,0.875,False,False
OpenGVLab/InternVL3-8B,java,u3_0723,BA,False,2.0,2.0,2.0,34.75,35.25,32.75,33.25,0.5,-1.125,0.875,False,False
OpenGVLab/InternVL3-8B,java,u3_0724,AB,False,-1.0,-0.875,1.0,27.5,28.875,28.5,29.75,1.375,-0.75,-0.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0724,BA,False,0.5,0.375,0.5,29.875,30.125,29.375,29.75,0.375,-0.75,-0.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0725,AB,False,0.25,0.25,0.25,31.125,29.875,30.875,29.625,1.25,-0.0625,0.3125,False,False
OpenGVLab/InternVL3-8B,java,u3_0725,BA,False,0.375,0.375,0.375,29.5,29.875,29.125,29.5,0.375,-0.0625,0.3125,False,False
OpenGVLab/InternVL3-8B,java,u3_0726,AB,False,0.25,0.25,0.25,31.5,31.0,31.25,30.75,0.5,-0.125,0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0726,BA,False,0.5,0.625,0.5,29.375,31.5,28.875,30.875,2.125,-0.125,0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0727,AB,False,1.5,1.75,1.5,31.0,31.625,29.5,29.875,0.625,1.5,0.0,False,False
OpenGVLab/InternVL3-8B,java,u3_0727,BA,False,-1.5,-1.5,1.5,27.875,28.75,29.375,30.25,0.875,1.5,0.0,False,False
OpenGVLab/InternVL3-8B,java,u3_0728,AB,False,-0.375,-0.625,0.375,28.0,29.125,28.375,29.75,1.375,-0.75,0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0728,BA,False,1.125,1.75,1.125,31.125,34.5,30.0,32.75,3.375,-0.75,0.375,False,False
OpenGVLab/InternVL3-8B,java,u3_0729,AB,False,2.0,2.5,2.0,34.25,35.25,32.25,32.75,1.0,1.9375,0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0729,BA,False,-1.875,-1.625,1.875,29.0,30.875,30.875,32.5,1.875,1.9375,0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0730,AB,False,0.0,0.0,0.0,30.5,29.625,30.5,29.625,0.875,-0.3125,0.3125,False,True
OpenGVLab/InternVL3-8B,java,u3_0730,BA,False,0.625,0.75,0.625,30.25,32.5,29.625,31.75,2.25,-0.3125,0.3125,False,True
OpenGVLab/InternVL3-8B,java,u3_0731,AB,False,-0.5,-0.375,0.5,28.25,28.625,28.75,29.0,0.375,0.125,-0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0731,BA,False,-0.75,-0.875,0.75,28.125,29.375,28.875,30.25,1.375,0.125,-0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0732,AB,False,-1.25,-1.375,1.25,28.375,29.5,29.625,30.875,1.25,-1.875,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0732,BA,False,2.5,2.5,2.5,33.75,32.75,31.25,30.25,1.0,-1.875,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0733,AB,False,-1.0,-0.75,1.0,28.0,30.125,29.0,30.875,2.125,-0.875,-0.125,False,False
OpenGVLab/InternVL3-8B,java,u3_0733,BA,False,0.75,0.375,0.75,29.375,28.875,28.625,28.5,0.5,-0.875,-0.125,False,False
OpenGVLab/InternVL3-8B,java,u3_0734,AB,True,-0.125,0.0,0.125,29.5,31.125,29.625,31.125,1.625,-0.375,0.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0734,BA,False,0.625,0.875,0.625,30.0,31.75,29.375,30.875,1.75,-0.375,0.25,False,False
OpenGVLab/InternVL3-8B,java,u3_0735,AB,False,-1.125,-1.0,1.125,28.25,28.75,29.375,29.75,0.5,-1.625,0.5,False,False
OpenGVLab/InternVL3-8B,java,u3_0735,BA,False,2.125,2.125,2.125,31.875,33.5,29.75,31.375,1.625,-1.625,0.5,False,False
OpenGVLab/InternVL3-8B,java,u3_0736,AB,False,0.5,0.625,0.5,29.125,29.625,28.625,29.0,0.5,0.5,0.0,False,False
OpenGVLab/InternVL3-8B,java,u3_0736,BA,False,-0.5,-0.625,0.5,30.25,29.0,30.75,29.625,1.25,0.5,0.0,False,False
OpenGVLab/InternVL3-8B,java,u3_0737,AB,False,0.375,0.5,0.375,29.625,29.75,29.25,29.25,0.125,-0.625,1.0,False,False
OpenGVLab/InternVL3-8B,java,u3_0737,BA,False,1.625,1.75,1.625,31.5,34.0,29.875,32.25,2.5,-0.625,1.0,False,False
OpenGVLab/InternVL3-8B,java,u3_0738,AB,False,-1.125,-1.125,1.125,29.375,28.0,30.5,29.125,1.375,-1.9375,0.8125,False,False
OpenGVLab/InternVL3-8B,java,u3_0738,BA,False,2.75,2.75,2.75,35.75,33.25,33.0,30.5,2.5,-1.9375,0.8125,False,False
OpenGVLab/InternVL3-8B,java,u3_0739,AB,False,0.0,0.125,0.0,29.0,29.375,29.0,29.25,0.375,-1.0,1.0,False,True
OpenGVLab/InternVL3-8B,java,u3_0739,BA,False,2.0,2.0,2.0,34.5,32.25,32.5,30.25,2.25,-1.0,1.0,False,True
OpenGVLab/InternVL3-8B,java,u3_0740,AB,False,-1.5,-1.625,1.5,29.5,29.75,31.0,31.375,0.375,-1.375,-0.125,False,False
OpenGVLab/InternVL3-8B,java,u3_0740,BA,False,1.25,1.125,1.25,31.375,31.125,30.125,30.0,0.25,-1.375,-0.125,False,False
OpenGVLab/InternVL3-8B,java,u3_0741,AB,False,-0.625,-0.375,0.625,30.0,31.5,30.625,31.875,1.5,-0.5625,-0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0741,BA,False,0.5,0.75,0.5,28.75,30.0,28.25,29.25,1.25,-0.5625,-0.0625,False,False
OpenGVLab/InternVL3-8B,java,u3_0742,AB,False,-0.75,-0.75,0.75,28.0,28.25,28.75,29.0,0.25,-1.375,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0742,BA,False,2.0,1.625,2.0,35.0,32.0,33.0,30.375,3.0,-1.375,0.625,False,False
OpenGVLab/InternVL3-8B,java,u3_0743,AB,False,-0.875,-0.5,0.875,28.0,29.0,28.875,29.5,1.0,-0.75,-0.125,False,False
