experiment,model,language,condition,abs_c_decile,n,abs_c_min,abs_c_median,abs_c_max,debiased_accuracy,strict_valid_rate,strict_valid_only_accuracy
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap80__lnon,1,100,0.0,0.0625,0.125,0.39,0.04,0.5
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap80__lnon,2,100,0.125,0.1875,0.25,0.56,0.07,0.42857142857142855
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap80__lnon,3,100,0.25,0.3125,0.375,0.54,0.23,0.4782608695652174
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap80__lnon,4,100,0.375,0.4375,0.5625,0.68,0.37,0.7027027027027027
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap80__lnon,5,100,0.5625,0.625,0.6875,0.66,0.61,0.6885245901639344
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap80__lnon,6,100,0.6875,0.75,0.8125,0.71,0.65,0.6923076923076923
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap80__lnon,7,100,0.875,0.9375,1.0625,0.75,0.86,0.7325581395348837
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap80__lnon,8,100,1.0625,1.1875,1.3125,0.76,0.9,0.8
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap80__lnon,9,100,1.3125,1.5,1.6875,0.87,0.98,0.8673469387755102
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap80__lnon,10,100,1.6875,2.0625,3.375,0.93,1.0,0.93
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap60__lnon,1,100,0.0,0.0625,0.125,0.38,0.09,0.2222222222222222
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap60__lnon,2,100,0.125,0.25,0.3125,0.53,0.19,0.631578947368421
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap60__lnon,3,100,0.3125,0.375,0.4375,0.59,0.38,0.631578947368421
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap60__lnon,4,100,0.4375,0.5,0.625,0.64,0.45,0.6444444444444445
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap60__lnon,5,100,0.625,0.6875,0.75,0.63,0.65,0.6461538461538462
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap60__lnon,6,100,0.75,0.8125,0.9375,0.69,0.68,0.7058823529411765
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap60__lnon,7,100,0.9375,1.0625,1.125,0.72,0.79,0.759493670886076
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap60__lnon,8,100,1.125,1.25,1.375,0.81,0.91,0.8241758241758241
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap60__lnon,9,100,1.375,1.53125,1.75,0.84,0.97,0.8350515463917526
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap60__lnon,10,100,1.75,2.1875,3.5,0.91,1.0,0.91
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap80__lnon,1,100,0.0,0.0625,0.125,0.43,0.07,0.5714285714285714
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap80__lnon,2,100,0.125,0.25,0.3125,0.53,0.25,0.56
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap80__lnon,3,100,0.3125,0.375,0.4375,0.54,0.38,0.7105263157894737
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap80__lnon,4,100,0.4375,0.5,0.5625,0.69,0.51,0.6470588235294118
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap80__lnon,5,100,0.5625,0.625,0.6875,0.66,0.69,0.6666666666666666
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap80__lnon,6,100,0.6875,0.8125,0.875,0.68,0.81,0.7037037037037037
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap80__lnon,7,100,0.875,1.0,1.0625,0.75,0.84,0.7738095238095238
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap80__lnon,8,100,1.0625,1.1875,1.3125,0.78,0.94,0.7872340425531915
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap80__lnon,9,100,1.3125,1.5,1.75,0.86,0.99,0.8585858585858586
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap80__lnon,10,100,1.75,2.125,3.5625,0.91,1.0,0.91
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap60__lnon,1,100,0.0,0.0625,0.125,0.47,0.04,0.5
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap60__lnon,2,100,0.125,0.1875,0.25,0.61,0.08,1.0
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap60__lnon,3,100,0.25,0.3125,0.375,0.57,0.29,0.6551724137931034
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap60__lnon,4,100,0.375,0.5,0.5625,0.67,0.37,0.6486486486486487
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap60__lnon,5,100,0.5625,0.625,0.75,0.62,0.49,0.7551020408163265
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap60__lnon,6,100,0.75,0.8125,0.9375,0.66,0.64,0.6875
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap60__lnon,7,100,0.9375,1.0,1.125,0.74,0.78,0.7692307692307693
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap60__lnon,8,100,1.125,1.25,1.3125,0.8,0.84,0.8214285714285714
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap60__lnon,9,100,1.3125,1.5,1.6875,0.88,0.94,0.8936170212765957
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap60__lnon,10,100,1.6875,2.03125,3.625,0.94,1.0,0.94
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap80__lnon,1,100,0.0,0.0625,0.125,0.4,0.01,0.0
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap80__lnon,2,100,0.125,0.1875,0.25,0.62,0.05,0.2
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap80__lnon,3,100,0.25,0.375,0.375,0.55,0.21,0.42857142857142855
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap80__lnon,4,100,0.375,0.5,0.5625,0.68,0.35,0.6857142857142857
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap80__lnon,5,100,0.5625,0.625,0.6875,0.63,0.46,0.6739130434782609
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap80__lnon,6,100,0.6875,0.8125,0.875,0.71,0.63,0.746031746031746
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap80__lnon,7,100,0.875,0.9375,1.125,0.75,0.77,0.7662337662337663
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap80__lnon,8,100,1.125,1.1875,1.3125,0.75,0.88,0.75
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap80__lnon,9,100,1.3125,1.46875,1.6875,0.83,0.94,0.851063829787234
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap80__lnon,10,100,1.6875,2.03125,3.125,0.92,1.0,0.92
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap60__lnon,1,100,0.0,0.0625,0.125,0.45,0.04,0.25
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap60__lnon,2,100,0.125,0.1875,0.25,0.51,0.11,0.6363636363636364
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap60__lnon,3,100,0.25,0.375,0.4375,0.65,0.27,0.6666666666666666
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap60__lnon,4,100,0.4375,0.5,0.5625,0.6,0.35,0.6857142857142857
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap60__lnon,5,100,0.5625,0.6875,0.75,0.6,0.45,0.6666666666666666
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap60__lnon,6,100,0.75,0.875,0.9375,0.68,0.68,0.7058823529411765
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap60__lnon,7,100,0.9375,1.0625,1.125,0.75,0.82,0.7804878048780488
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap60__lnon,8,100,1.125,1.25,1.375,0.8,0.94,0.8191489361702128
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap60__lnon,9,100,1.375,1.5625,1.8125,0.85,0.98,0.8469387755102041
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap60__lnon,10,100,1.8125,2.15625,3.6875,0.91,1.0,0.91
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap80__lnon,1,100,0.0,0.0625,0.125,0.32,0.09,0.5555555555555556
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap80__lnon,2,100,0.125,0.1875,0.3125,0.54,0.28,0.5
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap80__lnon,3,100,0.3125,0.34375,0.375,0.66,0.35,0.6857142857142857
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap80__lnon,4,100,0.4375,0.4375,0.5625,0.7,0.43,0.7441860465116279
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap80__lnon,5,100,0.5625,0.625,0.75,0.66,0.7,0.7142857142857143
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap80__lnon,6,100,0.75,0.8125,0.875,0.58,0.79,0.6075949367088608
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap80__lnon,7,100,0.875,1.0,1.0625,0.77,0.89,0.7865168539325843
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap80__lnon,8,100,1.0625,1.1875,1.375,0.77,0.97,0.7731958762886598
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap80__lnon,9,100,1.375,1.5625,1.75,0.9,0.99,0.898989898989899
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap80__lnon,10,100,1.8125,2.125,3.75,0.9,1.0,0.9
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap60__lnon,1,100,0.0,0.0625,0.125,0.44,0.08,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap60__lnon,2,100,0.125,0.25,0.3125,0.5,0.27,0.48148148148148145
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap60__lnon,3,100,0.3125,0.375,0.4375,0.66,0.31,0.5806451612903226
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap60__lnon,4,100,0.4375,0.5,0.5625,0.55,0.45,0.7111111111111111
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap60__lnon,5,100,0.5625,0.6875,0.75,0.64,0.54,0.6851851851851852
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap60__lnon,6,100,0.75,0.8125,0.9375,0.68,0.75,0.68
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap60__lnon,7,100,0.9375,1.0625,1.125,0.69,0.84,0.7142857142857143
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap60__lnon,8,100,1.125,1.25,1.375,0.8,0.93,0.8172043010752689
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap60__lnon,9,100,1.375,1.5,1.75,0.85,0.99,0.8484848484848485
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap60__lnon,10,100,1.8125,2.1875,3.625,0.93,1.0,0.93
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,1,100,0.0,0.0625,0.125,0.43,0.02,1.0
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,2,100,0.125,0.1875,0.25,0.52,0.11,0.45454545454545453
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,3,100,0.25,0.34375,0.375,0.56,0.4,0.6
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,4,100,0.375,0.5,0.5625,0.66,0.51,0.6862745098039216
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,5,100,0.5625,0.625,0.6875,0.67,0.63,0.7142857142857143
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,6,100,0.6875,0.8125,0.875,0.71,0.78,0.717948717948718
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,7,100,0.875,0.9375,1.0625,0.76,0.87,0.7816091954022989
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,8,100,1.0625,1.1875,1.3125,0.81,0.96,0.8333333333333334
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,9,100,1.3125,1.4375,1.6875,0.82,0.99,0.8181818181818182
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,10,100,1.6875,2.0625,3.5,0.86,1.0,0.86
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,1,100,0.0,0.0625,0.125,0.45,0.1,0.6
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,2,100,0.125,0.25,0.3125,0.58,0.27,0.5925925925925926
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,3,100,0.3125,0.375,0.4375,0.52,0.37,0.5405405405405406
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,4,100,0.4375,0.5,0.625,0.61,0.5,0.62
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,5,100,0.625,0.6875,0.75,0.63,0.6,0.6333333333333333
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,6,100,0.75,0.875,1.0,0.66,0.78,0.7051282051282052
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,7,100,1.0,1.0625,1.1875,0.78,0.89,0.797752808988764
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,8,100,1.1875,1.3125,1.4375,0.79,0.93,0.8064516129032258
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,9,100,1.4375,1.625,1.75,0.85,0.98,0.8571428571428571
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,10,100,1.75,2.15625,3.5625,0.88,0.99,0.8787878787878788
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,1,100,0.0,0.0625,0.125,0.46,0.08,0.5
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,2,100,0.125,0.1875,0.3125,0.59,0.33,0.6363636363636364
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,3,100,0.3125,0.375,0.375,0.55,0.52,0.5
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,4,100,0.375,0.4375,0.5,0.55,0.63,0.6031746031746031
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,5,100,0.5,0.625,0.6875,0.66,0.73,0.684931506849315
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,6,100,0.6875,0.75,0.875,0.75,0.89,0.797752808988764
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,7,100,0.875,0.9375,1.0625,0.75,0.92,0.7608695652173914
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,8,100,1.0625,1.125,1.3125,0.75,0.94,0.776595744680851
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,9,100,1.3125,1.5,1.75,0.86,0.99,0.8585858585858586
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,10,100,1.75,2.125,3.5625,0.87,1.0,0.87
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,1,100,0.0,0.0625,0.125,0.34,0.06,0.6666666666666666
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,2,100,0.125,0.1875,0.25,0.54,0.14,0.5
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,3,100,0.25,0.3125,0.375,0.58,0.16,0.625
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,4,100,0.375,0.4375,0.5,0.61,0.21,0.5238095238095238
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,5,100,0.5,0.5625,0.625,0.59,0.43,0.6744186046511628
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,6,100,0.625,0.75,0.8125,0.61,0.46,0.5869565217391305
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,7,100,0.8125,0.9375,1.0,0.58,0.58,0.5689655172413793
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,8,100,1.0,1.125,1.25,0.6,0.77,0.5974025974025974
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,9,100,1.25,1.4375,1.625,0.69,0.91,0.6923076923076923
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,10,100,1.6875,1.9375,3.125,0.73,1.0,0.73
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,1,100,0.0,0.0625,0.125,0.35,0.04,0.75
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,2,100,0.125,0.1875,0.25,0.6,0.11,0.6363636363636364
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,3,100,0.25,0.3125,0.375,0.46,0.14,0.5714285714285714
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,4,100,0.375,0.4375,0.5,0.53,0.25,0.52
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,5,100,0.5,0.5625,0.625,0.69,0.34,0.7058823529411765
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,6,100,0.625,0.71875,0.8125,0.72,0.5,0.72
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,7,100,0.8125,0.9375,1.0,0.62,0.68,0.6323529411764706
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,8,100,1.0,1.125,1.25,0.6,0.91,0.6043956043956044
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,9,100,1.25,1.375,1.625,0.58,0.97,0.5876288659793815
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,10,100,1.625,2.0,3.4375,0.74,1.0,0.74
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,1,100,0.0,0.0625,0.125,0.49,0.03,0.3333333333333333
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,2,100,0.125,0.1875,0.25,0.67,0.09,0.6666666666666666
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,3,100,0.25,0.3125,0.375,0.58,0.18,0.5
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,4,100,0.375,0.4375,0.5625,0.63,0.34,0.6470588235294118
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,5,100,0.5625,0.625,0.6875,0.54,0.36,0.4722222222222222
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,6,100,0.6875,0.75,0.8125,0.58,0.41,0.5853658536585366
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,7,100,0.8125,0.9375,1.0625,0.65,0.61,0.639344262295082
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,8,100,1.0625,1.1875,1.3125,0.62,0.78,0.6153846153846154
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,9,100,1.3125,1.4375,1.6875,0.63,0.96,0.6145833333333334
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,10,100,1.6875,2.0625,3.1875,0.74,1.0,0.74
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,1,100,0.0,0.0625,0.125,0.4,0.01,0.0
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,2,100,0.125,0.1875,0.25,0.53,0.17,0.6470588235294118
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,3,100,0.25,0.3125,0.375,0.62,0.34,0.6176470588235294
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,4,100,0.375,0.4375,0.5,0.6,0.43,0.5813953488372093
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,5,100,0.5,0.5625,0.625,0.57,0.65,0.5692307692307692
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,6,100,0.6875,0.75,0.8125,0.57,0.64,0.53125
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,7,100,0.8125,0.9375,1.0625,0.68,0.85,0.7058823529411765
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,8,100,1.0625,1.125,1.3125,0.72,0.9,0.7333333333333333
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,9,100,1.3125,1.4375,1.625,0.58,0.98,0.5816326530612245
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,10,100,1.625,2.0625,3.375,0.73,1.0,0.73
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,1,100,0.0,0.0625,0.125,0.4,0.04,0.25
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,2,100,0.125,0.1875,0.25,0.53,0.1,0.5
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,3,100,0.25,0.3125,0.375,0.6,0.17,0.7058823529411765
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,4,100,0.375,0.4375,0.5,0.6,0.3,0.6
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,5,100,0.5,0.5625,0.6875,0.53,0.34,0.5
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,6,100,0.6875,0.75,0.8125,0.56,0.46,0.4782608695652174
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,7,100,0.8125,0.9375,1.0,0.66,0.53,0.5660377358490566
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,8,100,1.0625,1.1875,1.25,0.63,0.77,0.6363636363636364
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,9,100,1.25,1.5,1.6875,0.69,0.9,0.6777777777777778
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,10,100,1.6875,1.96875,3.625,0.73,1.0,0.73
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,1,100,0.0,0.0625,0.125,0.42,0.08,1.0
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,2,100,0.125,0.1875,0.25,0.49,0.08,0.5
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,3,100,0.25,0.3125,0.375,0.48,0.34,0.5294117647058824
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,4,100,0.375,0.4375,0.5,0.62,0.19,0.5789473684210527
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,5,100,0.5,0.5625,0.625,0.62,0.38,0.7368421052631579
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,6,100,0.625,0.75,0.8125,0.64,0.54,0.5740740740740741
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,7,100,0.8125,0.9375,1.0625,0.65,0.67,0.6268656716417911
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,8,100,1.0625,1.1875,1.3125,0.61,0.77,0.5974025974025974
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,9,100,1.3125,1.4375,1.625,0.66,0.96,0.6666666666666666
